transcript	TPM_Skmel5-1-B1R1_S3	TPM_Skmel5-1-B1R2_S2	TPM_Skmel5-10-B1R1_S2	TPM_Skmel5-10-B1R2_S1
LTR19_6q25.3b	2549.584492638219	2082.2110847336708	1243.776662532644	1241.074054866319
MER4_3q29f	2519.3151285595486	2624.362051805573	2821.097330775726	1592.7912926570357
ERVLE_13q14.13	2449.6200692926304	2668.7393634088075	1886.4758469372848	1868.9615818078005
ERVLE_2q24.3b	2446.326304568249	2053.9515838242064	2047.9016978482327	1818.4778958810475
ERV316A3_2p22.3a	2427.7249991435688	2102.586730439029	3220.87267862355	4041.15388842835
ERVLE_12p13.2b	2424.1933361083884	2269.4807528877595	2192.843862803971	2540.105499860203
HUERSP3B_Xp11.22	2421.6985550779195	2824.064600305446	2256.049972687223	2872.167977191474
HUERSP3_11p15.1	2410.3530326912087	2866.609564111713	3182.502620601077	3028.025420364828
ERVLE_7p15.3a	2406.4369467931783	2250.620297869228	2445.918098808113	1612.7886627604737
MER4_13q12.12d	2405.101855938452	2984.360589792057	1865.724053720205	2110.086532374608
MER41_16p12.3	2383.4288851130773	2790.274443005959	2017.3311411843608	1842.4348168988408
HERVH_3p12.3b	2374.5555332471854	2854.958762701189	715.6287958202907	606.5944889635485
ERVLE_22q13.1b	2355.714353074315	1765.0511766313666	1921.209025748646	1931.931296161338
PRIMA41_16q24.3	2300.190603697504	2370.036907050581	1815.9094745897276	1942.963608403562
HERVE_13q14.13b	2298.9796632271527	2162.8743073475275	781.319677716198	1308.2631046188126
MER61_6q13a	2258.914250634129	2850.7257043867994	587.657735102557	699.9528938767432
HERVL_13q33.1a	2224.836196269779	2124.529076115074	3363.9431662916527	3864.0649055823847
ERVLE_11p11.2a	2212.927271896426	1818.1570010552791	632.8181997112542	1872.721937705412
ERVL_5q11.2	2212.7290227741214	2107.4886366470014	1425.161906479647	1371.7791042704955
ERVLE_1p35.1c	2200.334421867993	2248.25014704364	994.1490876378958	1706.3819115729923
HERVL_7q31.1f	2152.894362828847	1875.111868408913	1485.1254735983778	1079.2748413674212
ERVLE_11q24.3e	2135.7590124224425	2439.242598840157	1359.9472889205445	1183.7979744988602
MER4_22q12.3	2134.8947311381035	2664.405816403515	3954.7553860461785	3957.634741853805
HERVL_12p13.2b	2118.028638170021	2072.638861210453	1937.300160718171	1603.5420036078656
